angle_deg,moment_kNm,stress_MPa,deflection_mm,torque_kNm,stability_margin_kNm
0.0,73.55,2.12,0.12,0.17,367.75
15.0,71.42,2.06,0.12,0.17,369.88
30.0,65.17,1.88,0.11,0.17,376.13
45.0,55.24,1.60,0.09,0.17,386.06
60.0,42.29,1.22,0.07,0.17,399.01
75.0,27.21,0.79,0.04,0.17,414.09
90.0,11.03,0.32,0.01,0.17,430.27
